Name,YearClear,ProBowl,Age,WR,GamesPlayed,GamesStarted,Receptions,LongestReception,LongestRushingAttempt,PickNumber,YdsSkd,FantasyPoints
Le'veon Bell,2016,0,24,0,8,8,57,23,44,73,0,112.307
Lamar Miller,2015,0,24,0,16,16,47,54,85,97,0,194.791
Lamar Miller,2016,0,25,0,11,11,27,16,45,97,0,120.488
Doug Martin,2015,1,26,0,16,16,33,25,84,7,0,215.392
Doug Martin,2016,0,27,0,5,5,11,27,17,7,0,68.211
Mark Ingram,2015,0,26,0,12,10,50,59,70,73,0,158.463
Mark Ingram,2016,0,27,0,11,9,30,22,75,73,0,129.586
Eddie Lacy,2015,0,25,0,15,12,20,28,29,7,0,142.393
Eddie Lacy,2016,0,26,0,5,5,4,17,31,7,0,61.337
LeSean McCoy,2015,1,27,0,12,12,32,22,48,73,0,170.150
LeSean McCoy,2016,0,28,0,10,10,28,25,75,73,0,132.904
Jonathan Stewart,2015,1,28,0,13,13,16,15,44,103,0,167.504
Jonathan Stewart,2016,0,29,0,8,8,4,25,47,103,0,96.952
Carlos Hyde,2015,0,24,0,7,7,11,11,22,7,0,72.207
Carlos Hyde,2016,0,25,0,9,9,21,13,34,7,0,101.242
C.J. Anderson,2015,0,24,0,15,5,25,27,48,7,0,115.039
C.J. Anderson,2016,0,25,0,7,7,16,25,28,7,0,84.320
Jamal Charles,2015,0,29,0,5,5,21,26,34,103,0,78.001
Jamal Charles,2016,0,30,0,3,0,2,16,17,103,0,31.984
Thomas Rawls,2015,0,22,0,13,7,9,31,69,175,0,99.079
Thomas Rawls,2016,0,23,0,4,2,9,20,18,175,0,26.903
Matt Forte,2015,0,30,0,13,13,44,38,27,44,0,167.424
Matt Forte,2016,0,31,0,11,11,26,31,32,44,0,141.975
Jeremy Hill,2015,0,23,0,16,15,15,14,38,103,0,143.474
Jeremy Hill,2016,0,24,0,11,9,15,25,74,103,0,112.034
Latavius Murray,2015,1,25,0,16,16,41,23,54,73,0,205.346
Latavius Murray,2016,0,26,0,9,7,26,39,42,73,0,105.581
Ryan Mathews,2015,0,28,0,13,6,20,23,63,175,0,113.235
Ryan Mathews,2016,0,29,0,10,6,11,27,30,175,0,92.450
DeMarco Murray,2015,0,27,0,15,8,44,44,54,7,0,155.165
DeMarco Murray,2016,0,28,0,12,12,45,35,75,7,0,166.504
Jeremy Langford,2015,0,24,0,16,2,22,83,23,103,0,112.732
Jeremy Langford,2016,0,25,0,7,3,13,14,23,103,0,54.219
Matt Jones,2015,0,22,0,13,0,19,78,39,65,0,88.583
Matt Jones,2016,0,23,0,7,7,8,16,57,65,0,74.969
Melvin Gordon,2015,0,22,0,14,13,33,18,27,65,0,134.389
Melvin Gordon,2016,0,23,0,11,9,37,35,48,65,0,120.669
Duke Johnson Jr.,2015,0,22,0,16,7,61,52,39,7,0,149.140
Duke Johnson Jr.,2016,0,23,0,12,2,45,32,17,7,0,91.955
Danny Woodhead,2015,0,30,0,16,1,80,61,27,7,0,155.469
Danny Woodhead,2016,0,31,0,2,1,6,12,23,7,0,42.758
Frank Gore,2015,0,32,0,16,16,34,34,37,103,0,190.884
Frank Gore,2016,0,33,0,11,11,29,49,22,103,0,150.137
Rashad Jennings,2015,0,30,0,16,16,29,51,38,250,0,180.901
Rashad Jennings,2016,0,31,0,8,8,22,24,25,250,0,98.849
Giovani Bernard,2015,0,24,0,16,1,49,45,28,103,0,110.658
Giovani Bernard,2016,0,25,0,10,2,39,32,17,103,0,81.099
Rob Gronkowski,2015,1,26,0,15,15,72,76,0,42,0,224.379
Rob Gronkowski,2016,0,27,0,8,6,25,53,0,42,0,95.780
Jordan Reed,2015,0,25,0,14,9,87,32,0,85,0,152.026
Jordan Reed,2016,0,26,0,9,8,59,33,0,85,0,115.234
Greg Olsen,2015,1,30,0,16,16,77,52,0,31,0,238.880
Greg Olsen,2016,0,31,0,11,11,58,78,0,31,0,169.498
Delanie Walker,2015,1,31,0,15,10,94,61,36,175,0,224.313
Delanie Walker,2016,0,32,0,11,8,49,47,3,175,0,135.560
Travis Kelce,2015,1,26,0,16,16,72,42,0,63,0,219.478
Travis Kelce,2016,0,27,0,11,11,57,44,-5,63,0,142.418
Coby Fleener,2015,0,27,0,16,11,54,57,0,34,0,168.227
Coby Fleener,2016,0,28,0,11,6,37,50,2,34,0,117.068
Tyler Eifert,2015,1,25,0,13,12,52,31,0,21,0,173.855
Tyler Eifert,2016,0,26,0,5,1,21,71,0,21,0,63.825
Gary Barnidge,2015,1,30,0,16,13,79,40,0,29,0,222.223
Gary Barnidge,2016,0,31,0,12,12,40,43,0,29,0,155.526
Zach Ertz,2015,0,25,0,15,6,75,60,0,35,0,148.660
Zach Ertz,2016,0,26,0,8,8,35,30,0,35,0,99.588
Antonio Gates,2015,0,35,0,11,4,56,40,0,0,0,136.056
Antonio Gates,2016,0,36,0,9,5,30,19,0,0,0,113.442
Julius Thomas,2015,0,27,0,12,11,46,34,0,129,0,134.376
Julius Thomas,2016,0,28,0,9,6,30,24,0,129,0,90.189
Zach Miller,2015,0,31,0,15,14,34,87,0,180,0,180.937
Zach Miller,2016,0,32,0,10,8,47,34,0,180,0,124.759
Martellus Bennett,2015,0,28,0,11,11,53,24,0,61,0,137.144
Martellus Bennett,2016,0,29,0,11,8,42,58,6,61,0,134.091
Jimmy Graham,2015,0,29,0,11,11,48,45,0,95,0,142.945
Jimmy Graham,2016,0,30,0,11,10,51,40,0,95,0,141.110
Eric Ebron,2015,0,22,0,14,8,47,55,0,10,0,129.281
Eric Ebron,2016,0,23,0,8,8,35,61,1,10,0,103.904
Jason Witten,2015,0,33,0,16,16,77,35,0,69,0,210.619
Jason Witten,2016,0,34,0,11,11,52,35,0,69,0,157.073
Dwayne Allen,2015,0,25,0,13,12,16,21,1,64,0,119.716
Dwayne Allen,2016,0,26,0,9,9,24,20,0,64,0,96.835
Charles Clay,2015,0,26,0,13,13,51,40,0,174,0,147.071
Charles Clay,2016,0,27,0,11,11,36,33,0,174,0,122.055
Clive Walford,2015,0,24,0,16,2,28,33,0,68,0,94.256
Clive Walford,2016,0,25,0,10,3,26,31,0,68,0,75.789
Jared Cook,2015,0,28,0,16,12,39,49,0,89,0,161.405
Jared Cook,2016,0,29,0,4,3,12,47,0,89,0,60.007
Austin Seferian-Jenkins,2015,0,23,0,7,3,21,43,0,38,0,61.343
Austin Seferian-Jenkins,2016,0,24,0,5,0,6,30,0,38,0,29.648
Jordan Cameron,2015,0,27,0,16,16,35,29,0,102,0,166.498
Jordan Cameron,2016,0,28,0,3,3,8,13,0,102,0,37.998
Kyle Rudolph,2015,0,26,0,16,16,49,47,0,43,0,181.106
Kyle Rudolph,2016,0,27,0,11,11,48,22,0,43,0,131.807
Jesse James,2015,0,21,0,8,2,8,20,0,160,0,33.086
Jesse James,2016,0,22,0,11,11,29,24,0,160,0,101.572
Virgil Green,2015,0,27,0,16,5,12,32,0,204,0,99.701
Virgil Green,2016,0,28,0,8,7,18,31,0,204,0,82.540
Stephen Gostkowski,2015,1,31,0,16,0,0,0,0,118,0,103.436
Stephen Gostkowski,2016,0,32,0,11,0,0,0,0,118,0,57.740
Steven Hauschka,2015,0,30,0,16,0,0,0,0,0,0,78.456
Steven Hauschka,2016,0,31,0,11,0,0,0,0,0,0,61.300
Dan Bailey,2015,1,27,0,16,0,0,0,0,0,0,98.524
Dan Bailey,2016,0,28,0,11,0,0,0,0,0,0,52.828
Justin Tucker,2015,0,26,0,16,0,0,0,0,0,0,67.160
Justin Tucker,2016,0,27,0,11,0,0,0,0,0,0,50.004
Adam Vinatieri,2015,0,43,0,16,0,0,0,0,0,0,115.168
Adam Vinatieri,2016,0,44,0,11,0,0,0,0,0,0,98.012
Mason Crosby,2015,0,31,0,16,0,0,0,0,193,0,70.839
Mason Crosby,2016,0,32,0,10,0,0,0,0,193,0,49.687
Graham Gano,2015,0,28,0,16,0,0,0,0,0,0,72.808
Graham Gano,2016,0,29,0,11,0,0,0,0,0,0,55.652
Blair Walsh,2015,0,25,0,16,0,0,0,0,175,0,54.869
Blair Walsh,2016,0,26,0,9,0,0,0,0,175,0,29.721
Chandler Catanzaro,2015,0,24,0,16,0,0,0,0,0,0,61.512
Chandler Catanzaro,2016,0,25,0,11,0,0,0,0,0,0,44.356
Matt Prater,2015,0,31,0,16,0,0,0,0,0,0,81.280
Matt Prater,2016,0,32,0,11,0,0,0,0,0,0,64.124
Roberto Aguayo,2016,0,22,0,11,0,0,0,0,59,0,32.692
Chris Boswell,2015,0,24,0,12,0,0,0,0,59,0,42.336
Chris Boswell,2016,0,25,0,11,0,0,0,0,0,0,44.356
Cairo Santos,2015,0,24,0,16,0,0,0,0,0,0,61.512
Cairo Santos,2016,0,25,0,11,0,0,0,0,0,0,44.356
Brandon McManus,2015,0,24,0,16,0,0,0,0,0,0,61.512
Brandon McManus,2016,0,25,0,11,0,0,0,0,0,0,44.356
Matt Bryant,2015,0,40,0,11,0,0,0,0,0,0,86.716
Matt Bryant,2016,0,41,0,11,0,0,0,0,0,0,89.540
Nick Novak,2015,0,34,0,13,0,0,0,0,0,0,77.764
Nick Novak,2016,0,35,0,11,0,0,0,0,0,0,72.596
Dan Carpenter,2015,0,30,0,16,0,0,0,0,0,0,78.456
Dan Carpenter,2016,0,31,0,11,0,0,0,0,0,0,61.300
Mike Nugent,2015,0,33,0,16,0,0,0,0,47,0,84.385
Mike Nugent,2016,0,34,0,11,0,0,0,0,47,0,67.229
Dustin Hopkins,2015,0,25,0,15,0,0,0,0,177,0,50.764
Dustin Hopkins,2016,0,26,0,11,0,0,0,0,177,0,37.604
Connor Barth,2015,0,29,0,12,0,0,0,0,0,0,59.648
Connor Barth,2016,0,30,0,11,0,0,0,0,0,0,58.476
Phil Dawson,2015,0,40,0,16,0,0,0,0,0,0,106.696
Phil Dawson,2016,0,41,0,11,0,0,0,0,0,0,89.540
Sebastian Janikowski,2015,0,37,0,16,0,0,0,0,17,0,97.304
Sebastian Janikowski,2016,0,38,0,11,0,0,0,0,17,0,80.148
Josh Lambo,2015,0,25,0,16,0,0,0,0,0,0,64.336
Josh Lambo,2016,0,26,0,11,0,0,0,0,0,0,47.180
Kai Forbath,2015,0,28,0,11,0,0,0,0,0,0,52.828
Kai Forbath,2016,0,29,0,2,0,0,0,0,0,0,19.688
Jason Myers,2015,0,24,0,16,0,0,0,0,0,0,61.512
Jason Myers,2016,0,25,0,11,0,0,0,0,0,0,44.356
Cam Newton,2015,1,26,0,16,16,0,0,0,1,284,313.319
Cam Newton,2016,0,27,0,10,10,0,0,0,1,208,197.622
Aaron Rodgers,2015,1,32,0,16,16,0,0,0,24,314,344.384
Aaron Rodgers,2016,0,33,0,10,10,0,0,0,24,157,187.199
Russell Wilson,2015,1,27,0,16,16,0,0,0,75,265,302.408
Russell Wilson,2016,0,28,0,11,11,0,0,0,75,205,203.415
Andrew Luck,2015,0,26,0,7,7,0,0,0,1,88,107.807
Andrew Luck,2016,0,27,0,10,10,0,0,0,1,219,203.256
Drew Brees,2015,0,36,0,15,15,0,0,0,32,235,277.735
Drew Brees,2016,0,37,0,11,11,0,0,0,32,123,189.156
Ben Roethlisberger,2015,1,33,0,12,11,0,0,0,7,141,220.969
Ben Roethlisberger,2016,0,34,0,10,10,0,0,0,7,123,173.528
Carson Palmer,2015,1,36,0,16,16,0,0,0,7,151,273.112
Carson Palmer,2016,0,37,0,10,10,0,0,0,7,222,232.708
Tom Brady,2015,1,38,0,16,16,0,0,0,175,225,307.574
Tom Brady,2016,0,39,0,7,7,0,0,0,175,62,121.788
Eli Manning,2015,1,34,0,16,16,0,0,0,7,157,270.537
Eli Manning,2016,0,35,0,11,11,0,0,0,7,75,160.275
Blake Bortles,2015,0,23,0,16,16,0,0,0,7,320,294.421
Blake Bortles,2016,0,24,0,11,11,0,0,0,7,132,158.407
Philip Rivers,2015,0,34,0,16,16,0,0,0,65,264,293.664
Philip Rivers,2016,0,35,0,11,11,0,0,0,65,142,191.455
Tyrod Taylor,2015,1,26,0,14,14,0,0,0,8,212,259.044
Tyrod Taylor,2016,0,27,0,11,11,0,0,0,8,136,168.873
Kirk Cousins,2015,0,27,0,16,16,0,0,0,103,186,231.889
Kirk Cousins,2016,0,28,0,11,11,0,0,0,103,108,152.216
Derek Carr,2015,1,24,0,16,16,0,0,0,7,230,279.687
Derek Carr,2016,0,25,0,11,11,0,0,0,7,50,119.230
Marcus Mariota,2015,0,22,0,12,12,0,0,0,73,258,222.234
Marcus Mariota,2016,0,23,0,12,12,0,0,0,73,129,158.985
Matthew Stafford,2015,0,27,0,16,16,0,0,0,65,251,267.238
Matthew Stafford,2016,0,28,0,11,11,0,0,0,65,147,174.248
Andy Dalton,2015,0,28,0,13,13,0,0,0,7,118,179.550
Andy Dalton,2016,0,29,0,11,11,0,0,0,7,188,201.210
Jameis Winston,2015,1,21,0,16,16,0,0,0,103,190,245.534
Jameis Winston,2016,0,22,0,11,11,0,0,0,103,155,159.346
Ryan Fitzpatrick,2015,0,33,0,16,16,0,0,0,175,94,197.815
Ryan Fitzpatrick,2016,0,34,0,10,9,0,0,0,175,73,134.316
Ryan Tannehill,2015,0,27,0,16,16,0,0,0,175,420,347.849
Ryan Tannehill,2016,0,28,0,11,11,0,0,0,175,194,192.370
